Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,total_CO2_EMISSION
Energy,Oceania,Germany,2015,185.1,164.39,75.2,53.47,15.17,15.06,508.39
Mining,Europe,China,2012,207.8,219.62,31.74,3.12,20.63,9.82,492.73
Energy,Europe,India,2004,197.48,962.93,52.29,90.74,27.48,7.66,1338.58
Manufacturing,Europe,Australia,2014,95.15,696.55,50.46,35.1,1.46,4.82,883.54
Construction,Oceania,Brazil,2006,262.72,678.45,70.14,19.44,22.31,17.72,1070.78
Energy,Oceania,Canada,2017,231.06,505.27,51.84,68.93,46.91,8.79,912.8
Energy,Europe,China,2019,153.31,537.83,33.49,15.94,37.59,9.56,787.72
Mining,Oceania,South Africa,2022,181.19,290.53,24.47,132.92,16.12,10.59,655.82
Energy,North America,Germany,2001,170.13,154.97,25.55,40.25,26.36,10.44,427.7
Energy,North America,Germany,2007,284.04,780.39,98.09,142.08,34.96,11.78,1351.34
Energy,Africa,China,2009,268.98,470.96,35.81,167.99,7.81,2.78,954.33
Mining,South America,Canada,2009,71.03,256.38,80.68,148.29,3.7,16.69,576.77
Energy,North America,Brazil,2010,79.2,632.96,7.23,152.59,30.98,6.95,909.91
Construction,Africa,Canada,2020,294.44,209.85,9.06,128.79,36.88,3.13,682.15
Mining,Asia,USA,2020,71.35,489.03,68.65,75.32,25.76,3.51,733.62
Construction,South America,USA,2007,286.07,190.62,45.78,69.77,34.8,7.29,634.33
Mining,North America,Germany,2015,195.1,759.79,88.06,113.83,35.98,5.23,1197.99
Energy,Asia,Australia,2015,15.51,321.14,86.24,49.68,32.24,16.71,521.52
Construction,Africa,Australia,2016,101.05,441.98,75.59,69,46.84,17.59,752.05
Mining,North America,Brazil,2005,143.11,755,81.55,31.14,26.85,14.27,1051.92
Manufacturing,North America,Germany,2017,250.01,659.77,87.06,156.05,2.94,16.25,1172.08
Energy,Oceania,USA,2016,98.91,400,78.38,147.15,28.3,0.36,753.1
Mining,Asia,Germany,2011,93.52,71.49,52.74,100.7,32.01,1.81,352.27
Manufacturing,North America,Canada,2014,276.12,921.65,26.55,73.98,17.11,16.22,1331.63
Mining,Europe,China,2006,24.17,8.42,78.76,139.37,23.69,9.45,283.86
Manufacturing,Oceania,Australia,2013,165.68,734.73,31.84,17.03,38.55,18.81,1006.64
Energy,Oceania,Australia,2003,151.52,945.43,24.56,9.65,35.97,17,1184.13
Construction,North America,South Africa,2016,17.67,307.02,17.25,139.98,8.96,6.83,497.71
Manufacturing,Oceania,China,2010,26.78,75.9,62.76,110.06,11.97,6.48,293.95
Mining,South America,South Africa,2005,114.9,249.92,24.32,146.67,28.58,17.66,582.05
Energy,Asia,Brazil,2009,40.68,313.76,37.55,55.99,19.58,8.75,476.31
Manufacturing,South America,USA,2014,143.68,451.59,70.94,21.75,37.55,9.04,734.55
Mining,Africa,Brazil,2005,182.86,525.48,79.4,86.05,5.15,10.74,889.68
Mining,South America,Brazil,2015,207.57,725.47,31.54,85.4,16.35,15.36,1081.69
Mining,Europe,USA,2011,164.17,900.96,84.3,151.83,18.45,7.31,1327.02
Manufacturing,Oceania,India,2018,114.21,465.06,5.89,24.51,21.59,8.41,639.67
Manufacturing,Oceania,India,2015,39.36,746.46,98.59,189.22,38.34,9.04,1121.01
Manufacturing,Europe,Germany,2013,74.62,127.64,41.75,11.29,1.02,16.78,273.1
Construction,Oceania,India,2005,126.12,329.12,32.56,62.66,7.32,8.4,566.18
Manufacturing,South America,China,2008,277.27,118.52,92.38,140.63,27.6,16.67,673.07
Manufacturing,Africa,Australia,2021,61.18,691.9,13.33,143.52,24.39,11.12,945.44
Manufacturing,North America,South Africa,2000,124.3,907.69,35.84,113.45,47.58,12.04,1240.9
Construction,Europe,Australia,2021,219.83,889.11,35.95,14.28,2.89,12.81,1174.87
Manufacturing,South America,Brazil,2007,211.71,326.79,42.49,171.29,14.9,7.73,774.91
Mining,South America,Australia,2006,289.69,234.6,84.85,126.98,38.92,12.18,787.22
Manufacturing,South America,Germany,2013,57.67,274.41,84.95,151.79,48.07,3.64,620.53
Mining,North America,Brazil,2007,5.45,287.69,59.2,77.31,49.71,6.4,485.76
Mining,Asia,USA,2010,97.04,82.7,99.18,48.75,14.66,17.06,359.39
Mining,Oceania,Canada,2008,45.33,133.78,84.43,144.05,29.82,7.34,444.75
Construction,Oceania,Australia,2018,164.77,214.88,68.14,163.12,47.89,7.84,666.64
Construction,Africa,India,2006,269.68,8.66,20.03,162.52,48.87,18,527.76
Construction,Asia,Canada,2005,206.62,47.71,55.02,143.46,5.98,6.88,465.67
Manufacturing,Oceania,USA,2017,41.17,698.7,21.47,27.88,17.79,13,820.01
Mining,Africa,Germany,2004,35.27,619.51,30.24,44.44,36.71,18.9,785.07
Construction,Africa,South Africa,2018,273.48,945.45,68.62,100.14,27.99,19.96,1435.64
Construction,South America,China,2010,146.54,402.06,18.52,101.52,28.85,10.78,708.27
Manufacturing,Europe,India,2004,277.14,444.61,9.18,97.76,21.59,12.24,862.52
Construction,South America,USA,2008,221,68.2,53.2,165.23,42.23,8.75,558.61
Manufacturing,North America,South Africa,2007,298.01,152.67,0.2,25.16,3.32,15.02,494.38
Energy,Oceania,Canada,2010,261.43,691.76,60.93,158.47,11.54,14.42,1198.55
Construction,Africa,Australia,2021,124.56,235.42,90.14,4.56,35.19,7.67,497.54
Energy,Europe,India,2005,227.59,773.39,19.11,64.68,40.98,1.22,1126.97
Manufacturing,Oceania,Brazil,2014,141.63,705.83,38.34,39.38,48.54,12.56,986.28
Mining,Africa,China,2005,70.31,747.39,91.65,105.38,14.88,0.77,1030.38
Construction,Africa,Australia,2021,72.69,690.74,70.42,104.83,11.09,12.81,962.58
Manufacturing,South America,Canada,2010,119.5,707.81,13.62,101.36,12.99,16.3,971.58
Mining,Europe,South Africa,2014,33.88,547.03,38.26,57.83,12.54,11.57,701.11
Mining,Europe,India,2011,53.74,678.4,75.62,104.41,23.89,6.73,942.79
Energy,Oceania,Australia,2008,150.43,526.42,66.51,141.19,14.26,10.12,908.93
Manufacturing,Africa,China,2009,286.2,206.49,15.65,78.81,7.05,7.25,601.45
Mining,Europe,South Africa,2014,173.52,218,6.34,185.74,2.78,2.31,588.69
Construction,Europe,Brazil,2016,122.84,405.6,68.2,13.79,12.87,6.41,629.71
Construction,Oceania,Canada,2015,73.19,14.41,60.94,197.42,40.89,9.8,396.65
Energy,South America,Brazil,2021,59.17,889.35,6.03,152.3,42.24,6.91,1156
Mining,Asia,USA,2007,197.69,268.63,97.48,118.68,29.59,0.56,712.63
Manufacturing,North America,Canada,2016,254.57,52.01,25.32,40.75,19.85,1.94,394.44
Construction,Asia,Germany,2010,119.96,424.71,38.66,125.5,13.4,2.55,724.78
Mining,Europe,USA,2010,165.42,815.69,17.84,160.44,2.07,8.36,1169.82
Mining,Africa,China,2005,212.16,397.65,82.87,50.8,49.52,0.79,793.79
Energy,North America,Canada,2021,17.96,263.05,96.26,8.08,19.15,9.62,414.12
Construction,North America,USA,2001,105.59,545.13,21.41,88.61,18.71,1.33,780.78
Construction,Africa,South Africa,2000,219.06,574.59,28.39,60.96,19.93,18.24,921.17
Manufacturing,North America,India,2019,205.54,759.31,70.68,57.3,38.86,19.87,1151.56
Construction,Africa,South Africa,2005,16.48,799.85,52.84,144.99,32.95,7.66,1054.77
Manufacturing,North America,USA,2004,71.73,706.35,10.6,29.69,47.17,15.66,881.2
Construction,Oceania,Germany,2022,204.15,5.04,92.87,130.22,3.82,17.91,454.01
Energy,Oceania,South Africa,2021,81.79,2.58,61.15,12.35,48.05,16.92,222.84
Construction,Asia,South Africa,2021,244.42,977.46,30.2,183.99,29.52,11.19,1476.78
Manufacturing,North America,South Africa,2008,9.34,264.57,49.03,117.26,46.48,9.12,495.8
Manufacturing,South America,Germany,2004,57.51,282.71,50.07,186.2,38.22,6.56,621.27
Energy,Africa,Canada,2017,84.75,732.37,52.59,173.59,49.32,1.83,1094.45
Construction,North America,South Africa,2018,277.62,581.79,49.78,173.98,10.73,19.41,1113.31
Construction,Oceania,China,2014,239,463.83,56.22,24.04,26.08,1.31,810.48
Energy,Oceania,Brazil,2014,265.3,116.88,39.4,139.21,46.94,3.83,611.56
Construction,Africa,Germany,2008,132.42,81.95,14.7,80.14,6.96,10.2,326.37
Construction,South America,China,2013,246.86,703.77,66.49,91.88,39.02,1.76,1149.78
Manufacturing,North America,Germany,2004,256.12,125.04,79.27,55.89,45.71,14.13,576.16
Construction,North America,Germany,2016,120.29,436.09,84.12,28.05,18.81,0.34,687.7
Construction,South America,Canada,2014,298.34,736.26,2.29,61.33,22.21,17.02,1137.45
Energy,South America,Brazil,2019,255.45,923.24,40.52,109.95,41.62,18.41,1389.19
Energy,South America,India,2016,292.24,873.65,97.85,82.07,28.36,13.61,1387.78
Mining,Oceania,Canada,2008,260.02,864.1,6.35,140.81,23.98,12.74,1308
Manufacturing,Africa,Canada,2012,232.97,358.82,78.58,167.82,13.78,11.87,863.84
Construction,South America,China,2021,283.18,927.21,12.7,42.22,26.85,1.55,1293.71
Construction,Africa,Germany,2012,126.24,683.82,82.48,11.35,18.86,6.84,929.59
Mining,Asia,Australia,2004,235.11,886.54,67.25,198.17,23.61,12.67,1423.35
Construction,North America,Germany,2013,64.26,89.38,72.53,176.54,42.52,4.3,449.53
Manufacturing,North America,USA,2006,219.97,40.04,97.73,53.1,42.29,0.19,453.32
Mining,Europe,South Africa,2004,235.71,429.93,93.95,32.61,1.15,10.66,804.01
Manufacturing,Asia,India,2011,215.1,828.1,30.51,190.21,27.34,7.15,1298.41
Mining,South America,Brazil,2002,255.02,408.83,37.58,46.56,47.54,4.72,800.25
Mining,South America,Australia,2008,124.29,884.7,40.78,44.46,22.36,16.17,1132.76
Energy,Oceania,China,2009,163.66,235.16,18.14,22.06,5.61,14.08,458.71
Manufacturing,Asia,Germany,2000,3.69,39.82,38.18,57.65,0.66,12.99,152.99
Construction,South America,South Africa,2013,44.24,761.41,97.9,168.22,20.47,19.39,1111.63
Construction,Europe,China,2000,193.44,626.36,49.01,114.01,43.86,13.13,1039.81
Manufacturing,Africa,Canada,2009,168.91,440.37,95.26,18.49,44.65,14.62,782.3
Construction,North America,Brazil,2010,59.6,845.34,7.24,193.49,33.12,5.23,1144.02
Construction,Asia,India,2019,73.42,824.26,4.02,107.95,47.65,15.28,1072.58
Manufacturing,North America,USA,2001,103.55,324.87,57.58,83.4,3.71,10.97,584.08
Mining,Africa,Canada,2022,215.07,838.05,73.65,156.87,18.59,11.37,1313.6
Manufacturing,Asia,India,2001,183.11,345.49,21.82,112.11,39.65,2.88,705.06
Mining,Africa,Canada,2022,21.34,622.09,50.39,179.16,42.01,14.73,929.72
Construction,South America,USA,2010,228.1,192.9,87.31,140.5,4.67,13.36,666.84
Construction,South America,China,2007,79.17,264.56,76.2,133.68,29.4,3.09,586.1
Construction,South America,India,2002,201.69,448.15,23.26,67.62,33.34,3.67,777.73
Energy,Africa,Canada,2008,37.45,314.94,33.51,197.96,11.17,17.28,612.31
Mining,Africa,India,2015,299.38,129.58,30.65,130.42,1.76,12.41,604.2
Energy,Africa,India,2015,24.56,482.58,71.98,88.43,1.13,3.13,671.81
Energy,North America,Brazil,2009,222.65,511.6,96.82,29.59,18.01,4.39,883.06
Manufacturing,Africa,China,2005,162.63,159.13,28.08,111.17,6.46,9.42,476.89
Energy,South America,Australia,2019,26.24,174.73,58.87,133.28,28.6,18.03,439.75
Manufacturing,Europe,USA,2019,8.53,29.83,98.86,74.36,12.57,10.14,234.29
Manufacturing,Africa,India,2019,109.12,30.84,15.84,13.01,16.97,3.7,189.48
Energy,Europe,China,2010,240.77,358.95,65.94,159.7,17.29,16.97,859.62
Mining,South America,Australia,2007,12.82,147.08,33.27,130.83,46.57,8.41,378.98
Mining,Africa,South Africa,2019,211.47,919.13,99.17,136.94,43.09,13.93,1423.73
Mining,North America,Brazil,2000,196.79,199.81,10.97,49.09,32.47,2.78,491.91
Mining,North America,Brazil,2005,80.03,66.43,45.18,26.23,7.93,15.33,241.13
Mining,Europe,South Africa,2007,23.71,404.47,25.57,90.47,3.94,18.38,566.54
Energy,Oceania,China,2013,274.64,192.87,3.27,48.33,17.85,16.48,553.44
Energy,North America,USA,2002,90.45,62.24,96.36,156.22,28.6,0.71,434.58
Construction,North America,China,2001,33.86,752.85,56.86,106.44,36.28,11.79,998.08
Mining,North America,China,2021,204.61,557.32,70.11,26.49,1.3,11.6,871.43
Energy,South America,Germany,2000,65.4,57.48,62.07,39.33,9.82,16.34,250.44
Construction,North America,Australia,2010,142.95,468.28,14.93,177.38,21.98,19.89,845.41
Mining,Asia,Brazil,2020,15.6,39.31,17.14,126.36,18.04,18.64,235.09
Manufacturing,Africa,USA,2005,297.9,354.64,62.68,80.17,22.97,2.14,820.5
Construction,North America,Germany,2007,134.56,363.61,78,144.18,16.44,15.24,752.03
Energy,Oceania,South Africa,2006,299.73,823.07,61.15,161.79,29.43,18.57,1393.74
Manufacturing,Oceania,China,2005,116.01,735.42,57.08,22.97,43.31,8.21,983
Manufacturing,North America,South Africa,2017,104.68,897,74.62,168.41,4.19,18.6,1267.5
Manufacturing,North America,Brazil,2011,274.41,140.95,24.44,189.31,14.72,18.09,661.92
Construction,Asia,Germany,2007,99.18,534,73.19,18.09,13.39,12.84,750.69
Energy,North America,Australia,2020,129.89,20.68,41.18,64.88,27.25,18.16,302.04
Manufacturing,North America,Germany,2018,23.89,825.61,67.44,33.67,44.62,14.82,1010.05
Mining,Africa,USA,2004,286.66,366.9,27.54,86.05,41.01,12.57,820.73
Manufacturing,Oceania,Australia,2018,26,69.77,13.83,44.1,45.14,6.32,205.16
Manufacturing,Asia,China,2008,231.47,324.99,3.01,72.54,10.71,11.21,653.93
Construction,Oceania,Canada,2011,161.82,287.27,80.37,48.47,17.24,13.64,608.81
Construction,Asia,Canada,2014,18.89,766.12,19.78,0.82,13.85,10.47,829.93
Energy,Oceania,USA,2022,1.01,127.05,36.41,3.91,27.34,10.08,205.8
Mining,North America,Germany,2012,280.7,556,76.91,103.03,33.59,17.9,1068.13
Construction,Oceania,Australia,2012,222.78,794.02,45.07,102.76,20.83,19.7,1205.16
Manufacturing,Oceania,Germany,2020,206.09,739.67,21.83,7.31,15.46,14.36,1004.72
Energy,Asia,USA,2020,131.85,935.94,19.56,139.92,31.63,6.92,1265.82
Manufacturing,Europe,Germany,2004,71.96,1.13,40.85,5.47,24.97,17.93,162.31
Manufacturing,Asia,Australia,2001,204.12,354.12,56.56,97.37,41.45,16.47,770.09
Construction,Asia,India,2018,182.69,369.9,39.3,79.1,2.79,14.85,688.63
Energy,Asia,Brazil,2007,218.04,33.79,90.47,176.61,36.83,7.85,563.59
Mining,South America,China,2013,110.05,817.36,0.48,115.34,34.67,12.09,1089.99
Mining,South America,Brazil,2005,296.08,689.05,40.26,164.5,43.35,7.8,1241.04
Construction,South America,China,2006,20.57,528.32,74.31,199.67,42.26,3.55,868.68
Construction,Asia,Australia,2013,24.37,405.32,89.1,35.56,7.6,15.56,577.51
Energy,Europe,Germany,2005,275.1,895.47,35.9,12.64,32.1,14.02,1265.23
Mining,Asia,Canada,2015,194.49,264.83,67.39,154.92,30.25,6.11,717.99
Mining,North America,Australia,2003,98.24,334.87,58.08,126.36,34.75,10.26,662.56
Mining,Europe,USA,2006,228.7,952.66,20.23,126.87,49.07,11.97,1389.5
Manufacturing,South America,Canada,2015,136.11,65.09,68.13,63.32,5.56,16.13,354.34
Mining,Oceania,USA,2003,6.83,780.72,25.03,20.58,31.5,0.66,865.32
Manufacturing,Oceania,Germany,2006,195.51,718.2,78.41,144.27,29.89,17.45,1183.73
Energy,Africa,China,2020,73.31,901.94,86.6,108.71,0.47,7.69,1178.72
Manufacturing,Europe,Germany,2001,35.04,91.02,47.89,100.35,32.97,10.5,317.77
Energy,South America,China,2022,67.97,970.46,5.51,147.22,24.91,9.36,1225.43
Mining,Europe,Germany,2007,143.11,29.32,73.76,197.72,38.67,15.8,498.38
Mining,Europe,Canada,2009,15.43,338.03,46.77,148.07,37.79,13.27,599.36
Energy,Oceania,Germany,2001,265,85.28,9.54,186.92,2.28,14.94,563.96
Construction,Asia,Germany,2005,168.2,51.65,33.18,79.77,39.04,19.42,391.26
Energy,North America,Canada,2003,88.25,964.74,29.14,179.63,44.87,15.6,1322.23
Construction,Africa,USA,2020,206.26,719.81,72.66,145.5,31.64,14.73,1190.6
Manufacturing,South America,China,2000,241.37,505.94,42.46,74.4,43.47,2.81,910.45
Manufacturing,Europe,South Africa,2005,184.37,108.63,58.75,101.83,10.49,7.11,471.18
Manufacturing,Africa,Germany,2011,61.15,526.26,50.16,40.56,45.06,11.93,735.12
Mining,Europe,Brazil,2013,33.53,320.39,72.45,16.36,46.8,5.99,495.52
Manufacturing,Oceania,Brazil,2014,258.04,271.95,71.83,93.54,14.31,13.11,722.78
Construction,North America,Australia,2017,70.79,618.29,44.93,198.64,17.33,5.33,955.31
Manufacturing,Oceania,Australia,2016,6.51,791.03,13.59,174.1,35.57,6.42,1027.22
Energy,Africa,USA,2008,193.05,443.54,40.85,3.42,16.87,0.76,698.49
Energy,South America,India,2014,46.29,493.55,16.1,193.97,49.48,4.71,804.1
Mining,Europe,South Africa,2017,297.3,651.6,95.92,93.84,14.48,10.28,1163.42
Energy,North America,USA,2020,260.98,125.08,95.02,35.87,1.54,12.72,531.21
Construction,Oceania,India,2017,182.73,828.69,45.72,182.99,40.9,8.88,1289.91
Manufacturing,Africa,USA,2004,250.24,837.02,2.86,184.98,2.26,6.88,1284.24
Mining,Oceania,Australia,2015,141.43,541.28,37.53,169.4,48.72,11.34,949.7
Manufacturing,Europe,Brazil,2008,236.65,187.97,89.52,124.29,30.04,1.35,669.82
Manufacturing,Europe,Germany,2021,194.14,501.01,28.87,47.39,22.02,5.54,798.97
Construction,South America,China,2002,9.08,106.39,62.24,48.27,36.66,7.78,270.42
Energy,North America,Australia,2011,284.65,763.41,18.48,193.12,35.82,9.65,1305.13
Energy,Asia,Germany,2013,258.35,311.5,82.53,55.83,19.49,16.17,743.87
Manufacturing,Oceania,Brazil,2000,286.05,311.44,89.2,84.56,10.78,15.09,797.12
Mining,Europe,Canada,2008,219.54,945.08,61.55,150.59,42.26,9.5,1428.52
Energy,Africa,China,2008,123.91,422.15,62.41,164.72,46.11,9.89,829.19
Mining,Oceania,India,2019,62.49,789.68,37.92,82.34,49.74,14.08,1036.25
Energy,South America,India,2012,54.41,637.34,70.74,79.19,18.23,10.09,870
Mining,South America,Brazil,2007,43.9,316.52,47.9,71.46,28.89,2.73,511.4
Construction,Europe,China,2010,66.57,124.23,74.57,77.74,49.05,9.28,401.44
Mining,Europe,Germany,2013,165.42,797.84,96.85,151.69,20.68,12.09,1244.57
Construction,Europe,Brazil,2015,205.28,762.62,82.26,12.48,39.55,11.76,1113.95
Construction,Asia,India,2010,94.56,169.58,51.78,160.05,46.99,2.64,525.6
Mining,Europe,Canada,2018,164.85,249.49,97.89,43.04,9.35,19.41,584.03
